,date,state,count,party
0,2010-01-01,Florida,18845537.0,
1,2010-01-01,Iowa,3050745.0,
2,2010-01-01,Nevada,2702405.0,
3,2010-01-01,Ohio,11539336.0,
4,2011-01-01,Florida,19053237.0,
5,2011-01-01,Iowa,3066336.0,
6,2011-01-01,Nevada,2712730.0,
7,2011-01-01,Ohio,11544663.0,
8,2012-01-01,Florida,19297822.0,DEMOCRAT
9,2012-01-01,Iowa,3076190.0,DEMOCRAT
10,2012-01-01,Nevada,2743996.0,DEMOCRAT
11,2012-01-01,Ohio,11548923.0,DEMOCRAT
12,2013-01-01,Florida,19545621.0,
13,2013-01-01,Iowa,3092997.0,
14,2013-01-01,Nevada,2775970.0,
15,2013-01-01,Ohio,11576684.0,
16,2014-01-01,Florida,19845911.0,
17,2014-01-01,Iowa,3109350.0,
18,2014-01-01,Nevada,2817628.0,
19,2014-01-01,Ohio,11602700.0,
20,2015-01-01,Florida,20209042.0,
21,2015-01-01,Iowa,3120960.0,
22,2015-01-01,Nevada,2866939.0,
23,2015-01-01,Ohio,11617527.0,
24,2016-01-01,Florida,20613477.0,REPUBLICAN
25,2016-01-01,Iowa,3131371.0,REPUBLICAN
26,2016-01-01,Nevada,2917563.0,DEMOCRAT
27,2016-01-01,Ohio,11634370.0,REPUBLICAN
28,2017-01-01,Florida,20963613.0,
29,2017-01-01,Iowa,3141550.0,
30,2017-01-01,Nevada,2969905.0,
31,2017-01-01,Ohio,11659650.0,
32,2018-01-01,Florida,21244317.0,
33,2018-01-01,Iowa,3148618.0,
34,2018-01-01,Nevada,3027341.0,
35,2018-01-01,Ohio,11676341.0,
36,2019-01-01,Florida,21477737.0,
37,2019-01-01,Iowa,3155070.0,
38,2019-01-01,Nevada,3080156.0,
39,2019-01-01,Ohio,11689100.0,
40,2012-01-01,Alabama,,REPUBLICAN
41,2016-01-01,Alabama,,REPUBLICAN
42,2020-01-01,Alabama,,REPUBLICAN
43,2012-01-01,Alaska,,REPUBLICAN
44,2016-01-01,Alaska,,REPUBLICAN
45,2020-01-01,Alaska,,REPUBLICAN
46,2012-01-01,Arizona,,REPUBLICAN
47,2016-01-01,Arizona,,REPUBLICAN
48,2020-01-01,Arizona,,DEMOCRAT
49,2012-01-01,Arkansas,,REPUBLICAN
50,2016-01-01,Arkansas,,REPUBLICAN
51,2020-01-01,Arkansas,,REPUBLICAN
52,2012-01-01,California,,DEMOCRAT
53,2016-01-01,California,,DEMOCRAT
54,2020-01-01,California,,DEMOCRAT
55,2012-01-01,Colorado,,DEMOCRAT
56,2016-01-01,Colorado,,DEMOCRAT
57,2020-01-01,Colorado,,DEMOCRAT
58,2012-01-01,Connecticut,,DEMOCRAT
59,2016-01-01,Connecticut,,DEMOCRAT
60,2020-01-01,Connecticut,,DEMOCRAT
61,2012-01-01,Delaware,,DEMOCRAT
62,2016-01-01,Delaware,,DEMOCRAT
63,2020-01-01,Delaware,,DEMOCRAT
64,2012-01-01,District Of Columbia,,DEMOCRAT
65,2016-01-01,District Of Columbia,,DEMOCRAT
66,2020-01-01,District Of Columbia,,DEMOCRAT
67,2020-01-01,Florida,,REPUBLICAN
68,2012-01-01,Georgia,,REPUBLICAN
69,2016-01-01,Georgia,,REPUBLICAN
70,2020-01-01,Georgia,,DEMOCRAT
71,2012-01-01,Hawaii,,DEMOCRAT
72,2016-01-01,Hawaii,,DEMOCRAT
73,2020-01-01,Hawaii,,DEMOCRAT
74,2012-01-01,Idaho,,REPUBLICAN
